row_number,term_code,subj_code,crse_numb,crse_title,crse_equiv,crse_text,note_row,crn,ptrm_code,seq_numb,schd_code,schd_type,schd_sort,credit_hrs,link_conn,start_date,end_date,sundays,mondays,tuesdays,wednesdays,thursdays,fridays,saturdays,times,locations,max_enrl,enrl,seats,wlist,perc_full,xlist_max,xlist_cur,instructors,tuition_code,tuition_desc,bill_hrs,note_bottom,notes_skill,crse_row_num,crse_row_total
51,202620,MECH,9530,Doctoral Thesis,,,R,23552,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,25,20,5,,80.0%,,,Bauer R.,,,0,,[],31,31
1,202620,MNSC,5070,Chemical Neurobiology,202620-NESC-5070,,R,23601,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,R,,,1435-1625,Carleton TUPPER BLDG L10,12,4,8,,33.3%,19,11,Semba K.,,,3,,[],1,9
2,202620,MNSC,5170,Spec Topics: Independant Study,,,R,23602,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,6,0,6,,0.0%,,,Zhang Y.,,,3,,[],2,9
3,202620,MNSC,5171,Special Topics,,,R,23603,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,6,0,6,,0.0%,,,Zhang Y.,,,3,,[],3,9
4,202620,MNSC,5200,MSc Graduate Seminar,,,R,23604,2,01,L,Lec,1,1,,05-JAN-2026,30-APR-2026,,,T   T,,,,,1135-1225   1135-1225,*** 07-JAN-2026 - 09-APR-2026 ***  Carleton TUPPER BLDG 3H01        *** 10-APR-2026 - 30-APR-2026 ***  Carleton TUPPER BLDG THTR C,47,13,34,,27.7%,97,27,Zhang Y.,,,1,,[],4,9
5,202620,MNSC,5230,PhD Graduate Seminar,,,R,23605,2,01,L,Lec,1,1,,05-JAN-2026,30-APR-2026,,,T   T,,,,,1135-1225   1135-1225,*** 07-JAN-2026 - 09-APR-2026 ***  Carleton TUPPER BLDG 3H01        *** 10-APR-2026 - 30-APR-2026 ***  Carleton TUPPER BLDG THTR C,50,14,36,,28.0%,97,27,Zhang Y.,,,1,,[],5,9
6,202620,MNSC,6103,Principles of Medical Neurosci,,,R,23606,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,F,,0935-1125,Carleton TUPPER BLDG 14B02,12,6,6,0,50.0%,,,Semba K.,,,3,,[],6,9
7,202620,MNSC,9000,MSc Thesis,,,R,23607,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,11,39,,22.0%,,,Zhang Y.,,,0,,[],7,9
8,202620,MNSC,9413,Comprehensive Examination,,,,24222,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,2,73,,2.7%,,,Zhang Y.,,,0,,[],8,9
9,202620,MNSC,9530,PhD Thesis,,,R,23608,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,15,35,,30.0%,,,Zhang Y.,,,0,,[],9,9
